HWND: 0xb6064c, Parent: 0x0, Class: Qt6101QWindowToolSaveBits, Title: python
HWND: 0x30250, Parent: 0x0, Class: SystemTray_Main, Title: 电池指示器
HWND: 0x1029c, Parent: 0x1029a, Class: ATL:00007FFA3811D230, Title: Network Flyout
HWND: 0xcd0734, Parent: 0x0, Class: Qt5QWindowToolSaveBits, Title: SelectFloatBall
HWND: 0x50660, Parent: 0x0, Class: Chrome_WidgetWin_1, Title: 天气
HWND: 0x6055a, Parent: 0x0, Class: Chrome_WidgetWin_1, Title: 资料卡
HWND: 0x10690, Parent: 0x0, Class: 360NetmonWindowClass{364B97E2-D014-4e2f-88C7-482B040F0D31}, Title: Q360NetmonWnd
HWND: 0x670808, Parent: 0x0, Class: DNDProxyWnd, Title: DNDProxyWnd
HWND: 0x2c073a, Parent: 0x0, Class: Chrome_WidgetWin_1, Title: MyDesktop - Antigravity - floating_ball.py [Administrator]
HWND: 0x60b6a, Parent: 0x0, Class: Qt6101QWindowIcon, Title: python
HWND: 0xa0af4, Parent: 0x0, Class: Qt6101QWindowIcon, Title: python
HWND: 0x150620, Parent: 0x0, Class: Qt6101QWindowIcon, Title: python
HWND: 0xe09e6, Parent: 0x0, Class: Qt6101QWindowIcon, Title: python
HWND: 0x80c60, Parent: 0x0, Class: Qt6101QWindowIcon, Title: python
HWND: 0x5e082a, Parent: 0x0, Class: Qt6101QWindowIcon, Title: python
HWND: 0x508de, Parent: 0x0, Class: Chrome_WidgetWin_1, Title: Google Antigravity Auth Success - Google Chrome
HWND: 0xe0bec, Parent: 0x0, Class: COMTASKSWINDOWCLASS, Title: Task Host Window
HWND: 0x10688, Parent: 0x0, Class: Qt5QWindowIcon, Title: 金山词霸2024
HWND: 0x60d0c, Parent: 0x0, Class: _q_titlebar, Title: _q_titlebar
HWND: 0x50aec, Parent: 0x0, Class: _q_titlebar, Title: _q_titlebar
HWND: 0x1d09e4, Parent: 0x0, Class: _q_titlebar, Title: _q_titlebar
HWND: 0x80a0a, Parent: 0x0, Class: _q_titlebar, Title: _q_titlebar
HWND: 0x80d48, Parent: 0x0, Class: _q_titlebar, Title: _q_titlebar
HWND: 0x4609e8, Parent: 0x0, Class: _q_titlebar, Title: _q_titlebar
HWND: 0x82077c, Parent: 0x0, Class: _q_titlebar, Title: _q_titlebar
